id,value,fips,lat,lon,state,county,city,wrfchem,zcta,zcta_area,zcta_pop,imp_a500,imp_a1000,imp_a5000,imp_a10000,imp_a15000,county_area,county_pop,log_dist_to_prisec,log_pri_length_5000,log_pri_length_10000,log_pri_length_15000,log_pri_length_25000,log_prisec_length_500,log_prisec_length_1000,log_prisec_length_5000,log_prisec_length_10000,log_prisec_length_15000,log_prisec_length_25000,log_nei_2008_pm25_sum_10000,log_nei_2008_pm25_sum_15000,log_nei_2008_pm25_sum_25000,log_nei_2008_pm10_sum_10000,log_nei_2008_pm10_sum_15000,log_nei_2008_pm10_sum_25000,popdens_county,popdens_zcta,logpopdens_zcta,logpopdens_county,geo_id,geo_display_label,nohs,somehs,hs,somecollege,associate,bachelor,grad,pov,hs_orless,urc2013,urc2006,aod,PC1,PC2,PC3,PC4,PC5,PC6
01003.0010,9.59764705882353,01003,30.498001,-87.881412,Alabama,Baldwin,Fairhope,8.09883603372209,36532,190980522,27829,0.0173010380622837,1.40960207612457,3.33601181309224,1.98791865597152,1.43862069262819,4117521611,182265,4.6481805393334,8.517193191416238,9.210340371976184,9.630228200282193,11.327348120196305,7.295355930086243,8.195118870663869,10.815042177019007,11.886803177577319,12.205723050745808,13.413952800739835,0.31803543782791105,1.9673589608420712,5.067308130842357,1.3558851085729804,2.267834109618903,5.628728390613074,44.26570573742157,145.71643070490717,5.015400128918838,3.897228215002625,8600000US36532,ZCTA5 36532,3.3,4.9,25.1,19.7,8.2,25.3,13.5,6.1,33.3,4,5,37.36363636363637,-4.493103287442917,0.039921699434635825,0.9607679565943377,0.13556581226568012,-0.5016821338580172,-1.1369299399894075
01027.0001,10.8,01027,33.281261,-85.802182,Alabama,Clay,Ashland,9.766208139599346,36251,374132430,5103,1.969723183391,0.853157439446367,0.985147865825108,0.520818869946022,0.335919794486529,1564252280,13932,7.219907019052484,8.517193191416238,9.210340371976184,9.615805480084347,10.126631103850338,6.214608098422191,7.600902459542082,10.170877878461175,11.405543089297765,12.0429629024542,12.799797830766055,3.218632928051157,3.218632928051157,3.218632928051157,3.3111164777640134,3.3111164777640134,3.3111164777640134,8.906491732906408,13.639555384172391,2.925285956192512,2.6323557622558913,8600000US36251,ZCTA5 36251,11.6,19.1,33.9,18.8,8,5.5,3.1,19.5,64.6,6,6,34.81818181818182,-5.393773576831688,-1.0236159909514613,-0.4670613983359013,0.3405249685698709,-0.18346169323443196,0.6480275551417136
01033.1002,11.212173913043479,01033,34.758781,-87.650562,Alabama,Colbert,Muscle Shoals,9.402678816696334,35660,16716984,9042,19.1730103806228,11.1448961937716,15.1786153846154,9.725387019189,5.24720938611545,1534877333,54428,5.760130586452857,8.517193191416238,9.274303154657456,9.658898635899684,10.157691500600707,8.611944772751226,9.735569084045746,11.770407151926554,12.84066347255742,13.282656285631438,13.799734812663399,6.573127301310269,6.581917456641838,6.875899577988755,6.69187312698829,6.7012774077384,7.148858423202541,35.460814248665436,540.8870403895821,6.302412068607733,3.7003339563187456,8600000US35660,ZCTA5 35660,7.3,15.8,30.6,20.9,7.6,12.7,5.1,19,53.7,4,4,36,-0.18167487145019526,-2.2933372384949604,2.7886994148550572,2.183172450163865,-1.1232384971443916,0.014433392338534558
01049.1003,11.659090909090908,01049,34.287627,-85.968298,Alabama,DeKalb,Crossville,8.534772474257672,35962,203836235,8300,5.78200692041522,3.86764705882353,1.23114143230567,1.03164688784931,0.97304442790313606,2012662359,71109,3.721489022774922,8.517193191416238,10.409411071705621,11.173626320457782,11.909590735288276,7.310154502096218,8.58584257410232,10.214200294567304,11.508944476939767,12.353662557488235,13.559793094472441,0,3.2827891506118534,4.88766546936078,0,3.350044428303535,5.171920188508178,35.33081427295675,40.718962455325965,3.8225131452160466,3.697115798935777,8600000US35962,ZCTA5 35962,14.3,16.7,35,14.9,5.5,7.9,5.8,13.8,66,6,5,33.083333333333336,-3.8508387053259643,0.4277421188289924,0.7051473017595525,-0.32154961361631906,0.7385222767950822,-1.5864580114912532
01055.0010,12.375394321766562,01055,33.993749,-85.991072,Alabama,Etowah,Gadsden,9.241743625187484,35901,154069359,20045,16.4930795847751,11.0964532871972,14.6777878199335,8.22007849353164,5.16121017069584,1385618994,104430,5.261457405255945,9.066562899934066,11.137360237802525,11.587258438435487,12.0135583362879,8.740679864095602,9.627897603074889,11.728888921291908,12.768279367084528,13.189488612381602,13.700260880170944,3.7727755143628867,3.785646441401712,4.160506363537994,4.437198843125645,4.462679324869747,4.678311025597558,75.36703845155287,130.1037411338876,4.90604293617333,4.386604122616397,8600000US35905,ZCTA5 35905,4.3,13.3,27.8,29.2,10.1,10,5.4,8.8,45.400000000000006,4,4,43.416666666666664,-0.5237913921671947,0.8776726736030261,2.29757984883061,0.7132343928176962,0.5611014639777676,-0.07827935611741817
01069.0003,10.508849557522124,01069,31.226359,-85.390768,Alabama,Houston,Dothan,9.121892442794445,36303,162685124,30217,19.1392733564014,16.6714965397924,16.3854821093509,8.07396239360433,4.74012960444918,1501737720,101547,7.112372650101276,8.517193191416238,9.210340371976184,9.615805480084347,10.126631103850338,6.214608098422191,7.600902459542082,12.298627255574546,12.994141062855874,13.32613151340524,13.855496589741572,0.9091366882192585,3.1746092130891737,3.1900076676142124,0.9288889045930181,3.6747390433287537,3.7446286999897276,67.61966397168209,185.73917059558562,5.250906895790602,4.285235738760972,8600000US36303,ZCTA5 36303,5.8,11.6,29.8,21.4,7.9,13.7,9.8,15.6,47.2,4,4,33,-3.025216210424594,0.9444727391278843,0.8648938309100231,-0.19554798357982248,-3.0227706699837076,1.164652171446672
01073.0023,15.591016548463356,01073,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.235611678472633,35207,26929603,9010,41.833044982699,41.0320069204152,36.0040625578382,23.1790412724144,17.4524844079229,2878192209,658466,6.600958306276053,11.15697669016233,11.849658333670714,12.401244817056671,12.98762299235494,6.214608098422191,9.075921022189542,12.281644576626183,13.278416315871931,13.826364731568423,14.452208379235502,7.987614168497272,8.43895221303076,8.65106836043413,8.209759579302142,8.648834554365333,8.858019108333233,228.77763268936707,334.5760425803529,5.827697905954457,5.4543703758958575,8600000US35207,ZCTA5 35207,7.1,17.1,37.2,23.5,7.3,5.9,2,25.5,61.400000000000006,1,1,39.583333333333336,4.734154022163529,-1.6394701036011203,0.01633249002342868,-0.38627504918011363,-0.2032049023797533,1.1549892672867055
01073.1005,12.399354838709677,01073,33.331111,-87.003611,Alabama,Jefferson,Not in a city,10.235611678472633,35111,166239542,16140,1.69765342960289,3.9823927765237,6.02132173162664,4.55677305683782,4.30062260649933,2878192209,658466,6.5268955822007015,10.9150664320176,11.728685435213148,12.230207726874738,12.864722389714753,6.214608098422191,8.949238577530982,11.039001281134658,12.128955694288296,12.75304490295714,13.800167267186115,5.4129549902989,6.643477320975769,7.806772885543312,5.771181130362862,6.868896764853269,8.021071510765086,228.77763268936707,97.08881416432199,4.625843161522533,5.4543703758958575,8600000US35022,ZCTA5 35022,2.7,6.6,30.7,25.7,8,17.6,8.7,7.3,40,1,1,38.75,0.3589594954524408,-1.9841685872264667,0.5604621266792505,-1.615634903726145,1.9447251827242624,-0.13084580263701223
01073.1009,11.103703703703705,01073,33.459722,-87.305556,Alabama,Jefferson,Not in a city,8.161788618304039,35444,385566685,3699,0,0.0291955017301038,0.139835630815942,0.14749677116071,0.162335898199919,3423328940,194656,9.789556584972381,8.517193191416238,9.210340371976184,9.615805480084347,10.126631103850338,6.214608098422191,7.600902459542082,8.517193191416238,9.210340371976184,9.615805480084347,11.893771193108936,0.0021670073426535014,0.0021670073426535014,6.362328518813987,0.016549626334832705,0.016549626334832705,6.891991582955403,56.86161143486258,9.593671195943704,2.6805879550049094,4.124899816624435,8600000US35006,ZCTA5 35006,11.1,11.6,46,17.2,4.1,7.1,2.9,8.1,68.7,1,1,40.36363636363637,-8.316784635620278,-1.308829057344808,-2.669641656181773,1.6040484795105532,2.1349833064421406,-2.318103577001697
01073.1010,13.114545454545455,01073,33.545278,-86.549167,Alabama,Jefferson,Leeds,9.303765524606236,35094,148994881,14212,0.0605536332179931,0.415008650519031,4.16353099277675,2.69707964278317,2.99565568050836,2878192209,658466,7.301544586981255,9.68333644580562,10.763385106536955,11.615710303105807,12.537768112942473,6.214608098422191,7.600902459542082,11.262645034588983,12.14100827024424,12.851709533407996,14.089149602390203,6.294072844338774,6.389428467231418,7.302066630467978,6.421248539116862,6.624111372087155,7.549058657099301,228.77763268936707,95.38582738288841,4.609021035768387,5.4543703758958575,8600000US35094,ZCTA5 35094,7.2,12.2,32.2,19,6.8,14.8,7.7,10.5,51.6,1,1,42.45454545454545,-0.5036262976566164,-2.716800770672811,0.39876551348083905,-1.950152907836684,0.5395461209068088,0.29135916744877494
